Unnamed: 0,origin_zone,destination_zone,distance,car_ivt
452190,2106,5345,24.2966,6.0079999999999805
546461,2861,1109,15.411,26.74666666666668
377003,5503,5108,13.5341,18.121999999999996
412175,2614,5224,16.4653,17.06350000000002
30190,1328,2422,6.3567,13.51333333333338
702570,2847,1818,5.1254,14.625299999999994
128439,4002,2844,20.205099,38.82550000000002
212736,1119,3025,14.3133,14.511166666666655
583543,1702,1305,4.6316,11.307749999999992
513866,5214,5623,10.7308,17.21811111111108
601132,2437,1324,8.6043,21.38983333333334
712716,3109,1911,21.1642,53.89889898
404222,4061,5215,23.3694,26.43250000000002
260524,2306,3306,17.863001,25.68433333333332
39347,1505,2432,6.7604,21.86666666666664
297610,5629,4029,28.2334,19.19483333333334
334801,4028,4070,6.7363,9.83661111111111
754770,4003,2021,14.9108,20.688750000000013
115036,1110,2830,13.0429,14.1866666666667
187182,1203,2935,17.8041,27.32641666666666
34033,2103,2426,10.796,17.0433333333333
220947,1113,3104,22.153799,23.21199999999996
669972,5109,1709,20.277599,29.86849999999998
246958,2833,3133,25.8871,29.72650000000002
119542,5508,2834,13.7843,24.96100000000001
671490,2809,1711,3.1138,3.94333333333332
474843,1421,5373,18.6593,24.33666666666666
70607,2233,2508,5.8394,9.4827
372687,1915,5104,19.785601,18.65126666666666
611678,5612,1406,26.1992,44.77441666666668
455158,2869,5348,7.3102,13.994000000000003
20373,2214,2411,4.5142,10.10394444444444
354021,4101,4503,9.8026,13.20616666666665
85227,2305,2614,9.7031,17.232
591340,3320,1313,18.7241,29.701666666666668
343201,5360,4105,16.6481,39.96319998
248619,2210,3135,13.6105,19.69283333333334
835883,2862,2301,10.792,12.504999999999985
500358,1301,5609,26.9058,49.398
680729,3005,1721,26.909401,54.97480002
628218,1329,1504,1.79,3.636750000000006
229716,3026,3114,3.8977,5.290989583333332
370407,4027,5009,21.665001,36.05170098
38399,1320,2431,6.3952,12.223333333333327
774434,1931,2044,14.7575,20.19283333333332
272760,4072,3319,8.1648,11.06063888888889
569372,3106,1208,18.90377,19.487944444444437
483017,1307,5503,21.681,23.60500000000002
9592,2848,2316,9.7776,18.891
69219,5122,2506,17.123159,23.437833333333295
