State,Value
"(8,E16)",56.2993633799536
"(4,E49)",67.05316545079992
"(6,E8)",29.0109107436112
"(8,E185)",69.79404092196236
"(4,E170)",68.85050644255733
"(7,E32)",77.64195373557527
"(5,E186)",68.80042273006802
"(9,E153)",68.5420160481877
"(4,E167)",68.8716775833019
"(11,E153)",69.59692744838055
"(5,E69)",68.18160650042745
"(7,E20)",75.52500501216748
"(2,E154)",65.70553763542108
"(1,E162)",68.21940701335402
"(4,E99)",68.5798742694399
"(2,E163)",65.85419684368554
"(2,E155)",65.78851706273228
"(2,E50)",61.0972240792333
"(6,E78)",68.39694577090499
"(6,E145)",68.82877404117532
"(10,E185)",69.53265790628258
"(9,E143)",68.5063535391269
"(11,E106)",69.590417094035
"(5,E120)",68.7034633479737
"(2,E159)",65.82310598412103
"(2,E178)",65.95089206497597
"(6,E107)",68.71602670837648
"(6,E143)",68.84444228128335
"(10,E84)",69.51940779991841
"(5,E150)",68.77605387802289
"(5,E77)",68.35161123559861
"(5,E86)",68.46639080981791
"(10,E81)",69.52134783099686
"(2,E187)",65.99786892397645
"(7,E33)",77.72814238954373
"(5,E52)",67.57362153079954
"(6,E191)",68.915853272212
"(4,E83)",68.37332562238022
"(4,E76)",68.24613572026493
"(1,E141)",68.19511412634778
"(11,E31)",66.70712668127084
"(6,E18)",54.16124165026783
"(2,E160)",65.82873412472735
"(11,E78)",69.57670895895384
"(7,E160)",77.94936107827186
"(2,E38)",58.359367681725125
"(6,E175)",68.86744758403762
"(8,E140)",69.780162036076
"(9,E168)",68.56480723596434
"(11,E22)",59.44188013299664
