State,Value
"(7,E46)",98.27913304953417
"(6,E124)",101.07787151474444
"(5,E140)",101.09350253799008
"(1,E63)",87.61434013321146
"(12,E58)",102.0679239351482
"(7,E8)",51.84115665234708
"(4,E53)",99.11445028402514
"(4,E90)",100.53625284549922
"(9,E116)",100.54105605770708
"(10,E152)",113.61989928182294
"(6,E136)",101.08213533556496
"(5,E38)",98.223829868956
"(8,E142)",101.0398234513452
"(11,E122)",111.86901454832474
"(4,E182)",101.01300530907795
"(1,E173)",89.59568065658863
"(6,E66)",100.48876596387603
"(3,E142)",89.550083031408
"(6,E71)",100.58606182387555
"(4,E192)",100.9998129378939
"(10,E81)",113.61989928182294
"(5,E119)",101.0357329541204
"(12,E142)",102.0982928598768
"(6,E40)",98.56820666296989
"(12,E127)",102.09801224775724
"(4,E184)",100.98452202477138
"(6,E73)",100.6403834088547
"(10,E183)",113.61989928182294
"(10,E105)",113.61989928182294
"(4,E70)",100.07547586551996
"(6,E178)",101.16189220265984
"(9,E27)",92.42623735615383
"(9,E64)",100.2079613505154
"(1,E44)",84.26083382558558
"(13,E47)",101.41127545491206
"(2,E2)",57.037378348071485
"(12,E9)",56.0866497826695
"(10,E111)",113.61989928182294
"(2,E90)",98.64560536508934
"(1,E120)",89.38833235852718
"(13,E26)",93.14868857590898
"(11,E172)",111.86901454832474
"(4,E102)",100.64857039828316
"(9,E15)",73.66672212491673
"(3,E123)",89.35946439118122
"(4,E128)",100.83310135278629
"(3,E157)",89.61181617485143
"(13,E1)",55.85966014002857
"(5,E179)",101.148052468394
"(11,E178)",111.86901454832474
