State,Value
"(1,E101)",85.72757510684194
"(7,E135)",98.49344640553674
"(4,E75)",85.44566888072515
"(4,E17)",63.63025193662328
"(19,E104)",87.32211525568933
"(4,E180)",85.9592799751331
"(10,E131)",97.7537258700217
"(11,E82)",98.4253658973038
"(16,E5)",53.1369692198547
"(11,E146)",98.3769089319154
"(14,E33)",80.47558262165134
"(19,E88)",87.0301976823679
"(2,P)",222.90467771119236
"(7,E146)",98.33935605636238
"(1,E16)",55.15385565571924
"(15,E81)",98.32686731209267
"(18,E86)",98.39259318455407
"(3,E129)",96.70551042281674
"(20,E78)",96.04511337833364
"(17,E173)",97.60539909962726
"(19,E114)",87.61282625799987
"(12,E5)",56.31473727139991
"(13,E17)",64.77184001205606
"(18,E84)",98.2077919907722
"(14,E138)",86.31696907730533
"(20,E26)",88.84408841712334
"(3,E22)",86.42288942770992
"(18,E73)",98.50304986329456
"(6,P)",215.59416802521017
"(16,E88)",98.3454311126635
"(7,E159)",98.86673058971748
"(15,E68)",98.0075273680062
"(13,E114)",87.14097035834921
"(12,E22)",107.96339161865706
"(12,E69)",110.16056381529508
"(6,E49)",96.19577609757748
"(16,E135)",98.44440792741834
"(17,E168)",97.86278991991222
"(13,E178)",87.1284804339969
"(12,E53)",110.15643386705608
"(5,E176)",96.87812403550691
"(6,E156)",97.65616984379233
"(2,E179)",85.97095696970449
"(5,E29)",91.76439297984156
"(3,E113)",96.44576712291436
"(4,E170)",86.34634095047294
"(14,E183)",86.68936087634022
"(16,P)",213.28917777203995
"(16,E34)",96.9726296049528
"(8,E169)",97.48915347221404
